name,state,country,latitude,longitude
Mumbai,,India,19.07283,72.88261
Delhi,,India,28.65195,77.23149
Bengaluru,,India,12.97194,77.59369
Hyderabad,,India,17.38405,78.45636
Ahmedabad,,India,23.02579,72.58727
Chennai,,India,13.08784,80.27847
Kolkata,,India,22.56263,88.36304
Surat,,India,21.19594,72.83023
Pune,,India,18.51957,73.85535
Jaipur,,India,26.91962,75.78781
Kanpur,,India,26.46523,80.34975
Navi Mumbai,,India,19.03681,73.01582
Lucknow,,India,26.83928,80.92313
Nagpur,,India,21.14631,79.08491
Coimbatore,,India,11.00555,76.96612
Indore,,India,22.71792,75.8333
Thāne,,India,19.19704,72.96355
Vadodara,,India,22.29941,73.20812
Bhopal,,India,23.25469,77.40289
Rasapūdipalem,,India,17.73308,83.31622
Pimpri-Chinchwad,,India,18.61867,73.80375
Patna,,India,25.59408,85.13563
Kallakurichi,,India,11.73379,78.95925
Ludhiana,,India,30.91204,75.85379
Nashik,,India,19.99727,73.79096
Madurai,,India,9.919,78.11953
Tirunelveli,,India,8.72742,77.6838
Agra,,India,27.18333,78.01667
Faridabad,,India,28.41124,77.31316
Rājkot,,India,22.29161,70.79322
Najafgarh,,India,28.60922,76.97982
Jamshedpur,,India,22.80278,86.18545
Gorakhpur,,India,29.44768,75.67206
Pimpri,,India,18.62292,73.80696
Kalyān,,India,19.2437,73.13554
Dombivali,,India,19.21667,73.08333
Meerut,,India,28.98002,77.70636
Virār,,India,19.45591,72.81136
Nowrangapur,,India,19.23114,82.54826
Srinagar,,India,34.08565,74.80555
Ghāziābād,,India,28.66535,77.43915
Dhanbad,,India,23.79759,86.42992
Aurangabad,,India,19.87757,75.34226
Varanasi,,India,25.31668,83.01041
Amritsar,,India,31.62234,74.87534
Vijayawada,,India,16.50745,80.6466
Ranchi,,India,23.34316,85.3094
Jabalpur,,India,23.16697,79.95006
Prayagraj,,India,25.44478,81.84322
Visakhapatnam,,India,17.68009,83.20161
Jodhpur,,India,26.26841,73.00594
Gwalior,,India,26.22983,78.17337
Teni,,India,10.01115,77.47772
Howrah,,India,22.57688,88.31857
Raipur,,India,21.23333,81.63333
Tiruchirappalli,,India,10.8155,78.69651
Kota,,India,25.18254,75.83907
Shivaji Nagar,,India,18.53017,73.85263
Sholapur,,India,17.67152,75.91044
Chandigarh,,India,30.73629,76.7884
Tiruppur,,India,11.11541,77.35456
Guwahati,,India,26.1844,91.7458
Hubballi,,India,15.34776,75.13378
Mysuru,,India,12.29791,76.63925
Salem,,India,11.65376,78.15538
Gurugram,,India,28.4601,77.02635
Bhubaneswar,,India,20.27241,85.83385
Bhiwandi,,India,19.30023,73.05881
Jalandhar,,India,31.32556,75.57917
Rohini,,India,28.74322,77.06778
Kanayannur,,India,9.96667,76.26667
Bhayandar,,India,19.30157,72.85107
Narela,,India,28.85267,77.09288
Thiruvananthapuram,,India,8.4855,76.94924
Alīgarh,,India,27.88145,78.07464
Bareilly,,India,28.36678,79.43167
Morādābād,,India,28.83893,78.77684
Warangal,,India,18.0,79.58333
Dhārāvi,,India,19.05,72.86667
Gorakhpur,,India,26.76628,83.36889
Guntur,,India,16.29974,80.45729
Puducherry,,India,11.93381,79.82979
Amravati,,India,20.93333,77.75
Bikaner,,India,28.01762,73.31495
Kochi,,India,9.93988,76.26022
Bhilai,,India,21.20919,81.4285
Cuttack,,India,20.46497,85.87927
Borivli,,India,19.23496,72.85976
Bhavnagar,,India,21.76287,72.15331
Sāngli,,India,16.85438,74.56417
Jamnagar,,India,22.47292,70.06673
Jammu,,India,32.73528,74.86167
Bokāro,,India,23.66934,86.15161
Nanded,,India,19.16023,77.31497
Kozhikode,,India,11.24802,75.7804
Kolhāpur,,India,16.69563,74.23167
Nellore,,India,14.44992,79.98697
Kalaburagi,,India,17.33583,76.83757
Ajmer,,India,26.4521,74.63867
Dehradun,,India,30.32443,78.03392
Erode,,India,11.3428,77.72741
Durgapur,,India,23.51583,87.30801
Ulhasnagar,,India,19.21667,73.15
Loni,,India,28.75143,77.29023
Siliguri,,India,26.71004,88.42851
Ujjain,,India,23.18239,75.77643
Bilimora,,India,20.76957,72.96134
Karol Bāgh,,India,28.65136,77.19072
Āsansol,,India,23.68333,86.98333
Mangaluru,,India,12.91723,74.85603
Belagavi,,India,15.85212,74.50447
Sahāranpur,,India,29.9679,77.54522
Vellore,,India,12.9184,79.13255
Bhātpāra,,India,22.86643,88.40113
Malegaon,,India,20.54966,74.53462
Gaya,,India,24.79686,85.00385
Ambattur,,India,13.09818,80.16152
Jalgaon,,India,21.00292,75.56602
Kurnool,,India,15.82887,78.03602
Rāmgundam,,India,18.80084,79.45206
Udaipur,,India,24.58584,73.71346
Maheshtala,,India,22.50862,88.25322
Patiāla,,India,30.33625,76.3922
Shyamnagar,,India,22.83333,88.36667
Davangere,,India,14.46693,75.92694
Akola,,India,20.70957,76.9981
Rajpur Sonarpur,,India,22.4382,88.43205
Korba,,India,22.3458,82.69633
Jhānsi,,India,25.45887,78.57994
Thoothukudi,,India,8.76735,78.13425
Ballari,,India,15.14205,76.92398
Bhāgalpur,,India,25.24446,86.97183
Agartala,,India,23.83605,91.27939
Kākināda,,India,16.96036,82.23809
Latur,,India,18.39721,76.56784
Pānihāti,,India,22.69089,88.37404
Rajamahendravaram,,India,17.00517,81.77784
Dhule,,India,20.9013,74.77737
Rohtak,,India,28.89447,76.58917
Ahilyanagar,,India,19.09457,74.73843
Kollam,,India,8.88113,76.58469
Bilāspur,,India,22.08005,82.15543
Bhilwara,,India,25.34707,74.64081
Brahmapur,,India,19.31151,84.7929
Muzaffarpur,,India,26.12259,85.39055
Punāsa,,India,22.23507,76.39335
Muzaffarnagar,,India,29.47091,77.70332
Avadi,,India,13.1147,80.10981
Kadapa,,India,14.47995,78.82346
Kukatpally,,India,17.48486,78.41376
Kāmārhāti,,India,22.67111,88.37472
Mathura,,India,27.5035,77.67215
Chānda,,India,19.95076,79.29523
Vijayapura,,India,16.82442,75.71537
Shivamogga,,India,13.93157,75.56791
Alwar,,India,27.56246,76.625
Shāhjānpur,,India,27.88165,79.90918
Jūnāgadh,,India,21.51966,70.45981
New Delhi,,India,28.62137,77.2148
Thrissur,,India,10.51667,76.21667
Nizāmābād,,India,18.67154,78.0988
Tumkūr,,India,13.34136,77.1022
Parbhani,,India,19.26855,76.77081
Hisar,,India,29.15394,75.72294
Fīrozābād,,India,27.15092,78.39781
Kulti,,India,23.73166,86.84372
Karnāl,,India,29.69197,76.98448
Barddhamān,,India,23.25572,87.85691
Gundupālaiyam,,India,11.94096,79.80294
Bārāsat,,India,22.72154,88.48198
Mulugu,,India,18.191,79.943
Bihār Sharīf,,India,25.20084,85.52389
Bāli,,India,22.64859,88.34115
Rāmpur,,India,28.81014,79.02699
Darbhanga,,India,26.15216,85.89707
Panipat,,India,29.38747,76.96825
Tirupati,,India,13.63551,79.41989
Greater Noida,,India,28.49615,77.53601
Noida,,India,28.58,77.33
Aizawl,,India,23.72894,92.71791
Gandhinagar,,India,23.21667,72.68333
Dindigul,,India,10.36896,77.98036
Thanjavur,,India,10.78523,79.13909
Karīmnagar,,India,18.43915,79.12856
Dewas,,India,22.96585,76.05526
Sonīpat,,India,28.99478,77.01937
Ichalkaranji,,India,16.69117,74.46054
Bathinda,,India,30.20747,74.93893
Jālna,,India,19.84102,75.88636
Kirāri Sulemānnagar,,India,28.69736,77.0648
Satna,,India,24.57726,80.82719
Purnia,,India,25.77895,87.47422
Imphal,,India,24.80805,93.9442
Saugor,,India,23.83877,78.73874
Kushinagar,,India,26.74134,83.88689
Rourkela,,India,22.22496,84.86414
Durg,,India,21.19147,81.27619
Anantapur,,India,14.67784,77.60813
Ratlām,,India,23.33033,75.04032
Rānipet,,India,12.92471,79.33331
Lal Bahadur Nagar,,India,17.34769,78.55757
Arrah,,India,25.55629,84.66335
Baranagar,,India,22.64132,88.37727
Gajuwaka,,India,17.7,83.21667
Etāwah,,India,26.77615,79.02133
Ambarnath,,India,19.2,73.16667
Naihāti,,India,22.89396,88.41521
Bharatpur,,India,27.21731,77.49009
Begusarai,,India,25.41853,86.13389
Tiruvottiyūr,,India,13.15823,80.30181
Gāndhīdhām,,India,23.08333,70.13333
